Ticker,Alpha,Beta,R-squared,p-value (Alpha),p-value (Beta)
Mkt,3.63E-19,1,1,0.007092674,0
AAPL,9.28E-05,1.245797344,0.57472086,0.7756222,4.96E-233
ABNB,-0.000428944,1.513768885,0.305952717,0.535577196,1.08E-100
AMZN,-0.000202149,1.483762842,0.513918876,0.644575437,6.14E-197
BA,-0.000285526,1.166491648,0.288103255,0.608115542,7.96E-94
GOOGL,0.000538824,1.266614514,0.475731099,0.182196858,1.65E-176
HPQ,-0.000390266,1.160173774,0.33489989,0.43188046,3.28E-112
MCD,0.000123078,0.413678311,0.167995966,0.659754885,1.25E-51
MSFT,0.000204156,1.155095101,0.579938571,0.494080154,2.30E-236
NVDA,0.001660701,2.165461782,0.494841916,0.012543337,1.54E-186
TSLA,0.000142045,2.052981423,0.32940107,0.873124263,5.52E-110
